愛	爱	ài	love, like, be fond of, be keen on, cherish, be apt to	[sound:cmn-爱.mp3]
愛好	爱好	àihào	love, like, be fond of, be keen on	[sound:cmn-爱好.mp3]
爸爸	爸爸	bàba	old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa	[sound:cmn-爸爸.mp3]
白	白	bái	white, clear, pure, plain, wrongly written/mispronounced,	[sound:cmn-白.mp3]
八	八	bā	det.: eight	[sound:cmn-八.mp3]
白天	白天	báitian	daytime, during the day, day, CL:個|个[ge4]	[sound:cmn-白天.mp3]
班	班	bān	m.[event]	[sound:cmn-班.mp3]
百	百	bǎi	cent, centum, century, hundred, det.: hundred	[sound:cmn-百.mp3]
吧	吧	ba	particle: used to show mild imperative or uncertainty	[sound:cmn-吧.mp3]
半	半	bàn	det.: half	[sound:cmn-半.mp3]
半年	半年	bànnián	half a year	[sound:cmn-半年.mp3]
半天	半天	bàntiān	half of the day, a long time, quite a while, midair, CL:個|个[ge4]	[sound:cmn-半天.mp3]
幫	帮	bāng	help	[sound:cmn-帮.mp3]
幫忙	帮忙	bāng máng	assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn	[sound:cmn-帮忙.mp3]
包	包	bāo	wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee	[sound:cmn-包.mp3]
包子	包子	bāozi	steamed stuffed bun, CL:個|个[ge4]	[sound:cmn-包子.mp3]
杯	杯	bēi	m.[container]	[sound:cmn-杯.mp3]
杯子	杯子	bēizi	tumbler, drinking glass, cup, glass	[sound:cmn-杯子.mp3]
北邊	北边	běibian	north, north side, northern part, to the north of	[sound:cmn-北边.mp3]
本	本	běn	det.: this	[sound:cmn-本.mp3]
北京	北京	Běijīng	capital of Red China, Beijing, Peking, Beijing (Peking), Peiping	[sound:cmn-北京.mp3]
北	北	běi	atomic number 97, northward, north, berkelium, Bk, northern	[sound:cmn-北.mp3]
本子	本子	běnzi	book, notebook, edition, CL:本[ben3]	[sound:cmn-本子.mp3]
別	别	bié	don't	[sound:cmn-别.mp3]
別的	别的	biéde	else, other	[sound:cmn-别的.mp3]
別人	别人	biéren	others, other people, another person	[sound:cmn-别人.mp3]
病	病	bìng	disease	[sound:cmn-病.mp3]
病人	病人	bìngrén	shut-in, patient, subject, sufferer, case, valetudinarian, invalid	[sound:cmn-病人.mp3]
比	比	bǐ	compared with	[sound:cmn-比.mp3]
不大	不大	bùdà	not very/too, not often	[sound:cmn-不大.mp3]
不客氣	不客气	bù kèqì	you're welcome, don't mention it, impolite, rude, blunt	[sound:cmn-不客气.mp3]
不用	不用	bùyòng	need not	[sound:cmn-不用.mp3]
菜	菜	cài	vegetable, greens, dish, course, food	[sound:cmn-菜.mp3]
不對	不对	bù duì	incorrect, wrong, amiss, abnormal, queer	[sound:cmn-不对.mp3]
差	差	chà	be short, lack	[sound:cmn-差.mp3]
不	不	bù	non, do not, no, nowise, not, nope, nae, no more, nix	[sound:cmn-不.mp3]
茶	茶	chá	tea	[sound:cmn-茶.mp3]
常常	常常	chángcháng	oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually	[sound:cmn-常常.mp3]
常	常	cháng	often, usually, frequently	[sound:cmn-常.mp3]
車	车	chē	vehicle	[sound:cmn-车.mp3]
唱歌	唱歌	chàng gē	sing	[sound:cmn-唱歌.mp3]
車上	车上	chē shàng	Car	[sound:cmn-车上.mp3]
車票	车票	chēpiào	ticket (for train/bus)	[sound:cmn-车票.mp3]
唱	唱	chàng	cry, chant, chirm, tune, vocalize, call, sing	[sound:cmn-唱.mp3]
吃	吃	chī	feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up	[sound:cmn-吃.mp3]
車站	车站	chēzhàn	station	[sound:cmn-车站.mp3]
