安慰	安慰	ānwèi	comfort, console	[sound:cmn-安慰.mp3]
岸	岸	àn	bank, shore, beach, coast, CL:個|个[ge4]	[sound:cmn-岸.mp3]
岸上	岸上	ànshàng	ashore, on the riverbank	[sound:cmn-岸上.mp3]
拔	拔	bá	bare, tear, pluck, choose, take out, stand out among, displume, uproot, pull up, tweak, draw, pull off, deplumate, deplume, pull, surpass, get out, raise, suck out, select, seize, seizure, cool in water, lift, pull_out, pick, capture, yank, pull out, pick off	[sound:cmn-拔.mp3]
按摩	按摩	ànmó	massage	[sound:cmn-按摩.mp3]
白酒	白酒	báijiǔ	spirit usually distilled from sorghum or maize, white spirit	[sound:cmn-白酒.mp3]
扮演	扮演	bànyǎn	play part of, play part of	[sound:cmn-扮演.mp3]
拜訪	拜访	bàifǎng	pay visit, call on	[sound:cmn-拜访.mp3]
包圍	包围	bāowéi	to surround, to encircle, to hem in	[sound:cmn-包围.mp3]
包裝	包装	bāozhuāng	package, packing, packaging	[sound:cmn-包装.mp3]
版	版	bǎn	a register, block of printing, edition, version, page	[sound:cmn-版.mp3]
棒	棒	bàng	good, fine, strong	[sound:cmn-棒.mp3]
保衛	保卫	bǎowèi	to defend, to safeguard	[sound:cmn-保卫.mp3]
報答	报答	bàodá	to repay, to requite	[sound:cmn-报答.mp3]
報警	报警	bào jǐng	to sound an alarm, to report sth to the police	[sound:cmn-报警.mp3]
背包	背包	bēibāo	knapsack, rucksack, infantry pack, field pack, blanket roll, CL:個|个[ge4]	[sound:cmn-背包.mp3]
保養	保养	bǎoyǎng	take good care of one's health, maintain, keep in good repair	[sound:cmn-保养.mp3]
悲傷	悲伤	bēishāng	sad, sorrowful	[sound:cmn-悲伤.mp3]
悲劇	悲剧	bēijù	tragedy	[sound:cmn-悲剧.mp3]
抱怨	抱怨	bàoyuan	croak, kvetch, scold, quarrel, bitch, squeal, complain, bellyache, plain, grumble, whimper, natter, grizzle, repine, nark, complaint, sound off, nag, whine, quetch, grouch, kick, yammer, backbite, squawk, crab, beef, yawp, rail, rabbit, gripe, inveigh, grouse, moan, holler	[sound:cmn-抱怨.mp3]
被動	被动	bèidòng	passive	[sound:cmn-被动.mp3]
輩	辈	bèi	lifetime, generation, group of people, class, classifier for generations, (literary) classifier for people	[sound:cmn-辈.mp3]
本人	本人	běnrén	myself, principal, in person, I, me, oneself, identity	[sound:cmn-本人.mp3]
鼻子	鼻子	bízi	nasal, hooter, nozzle, snoot, sneezer, boko, schnozzle, conk, smeller, snout, beezer, proboscis, olfactory organ, snitch, nose, olfactory	[sound:cmn-鼻子.mp3]
比方	比方	bǐfang	analogy, instance, for instance	[sound:cmn-比方.mp3]
比重	比重	bǐzhòng	proportion, specific gravity	[sound:cmn-比重.mp3]
北極	北极	běijí	the North Pole, the Arctic Pole, the north magnetic pole	[sound:cmn-北极.mp3]
必需	必需	bìxū	need	[sound:cmn-必需.mp3]
畢竟	毕竟	bìjìng	after all, when all is said and done	[sound:cmn-毕竟.mp3]
閉幕	闭幕	bì mù	the curtain falls, lower the curtain, to come to an end (of a meeting)	[sound:cmn-闭幕.mp3]
彼此	彼此	bǐcǐ	each other, one another, I/me too	[sound:cmn-彼此.mp3]
閉幕式	闭幕式	bìmùshì	closing ceremony	[sound:cmn-闭幕式.mp3]
編輯	编辑	biānjí	edit, compile	[sound:cmn-编辑.mp3]
必	必	bì	surely, must, certainly, have to, necessarily	[sound:cmn-必.mp3]
便利	便利	biànlì	facilitate	[sound:cmn-便利.mp3]
變動	变动	biàndòng	change, fluctuate	[sound:cmn-变动.mp3]
便條	便条	biàntiáo	(informal) note, CL:張|张[zhang1],個|个[ge4]	[sound:cmn-便条.mp3]
邊境	边境	biānjìng	frontier, border	[sound:cmn-边境.mp3]
便於	便于	biànyú	easy to, convenient for	[sound:cmn-便于.mp3]
賓館	宾馆	bīnguǎn	guesthouse, lodge, hotel, CL:個|个[ge4],家[jia1]	[sound:cmn-宾馆.mp3]
病毒	病毒	bìngdú	worm, viral, virus	[sound:cmn-病毒.mp3]
餅乾	饼干	bǐnggān	biscuit, cracker, cookie, CL:片[pian4],塊|块[kuai4]	[sound:cmn-饼干.mp3]
博客	博客	bókè	blog (loanword), weblog, blogger	[sound:cmn-博客.mp3]
餅	饼	bǐng	round flat cake, dumpling, pancake, tortilla, goody, cake, sth. shaped like a cake, a round flat cake	[sound:cmn-饼.mp3]
玻璃	玻璃	bōli	plastic, vitrum, putty, vitreous, nylon, window, windowpane, cutter, glass	[sound:cmn-玻璃.mp3]
博士	博士	bóshì	Ph.D, master of any trade/craft, master of any craft, Dr., holder of doctoral degree, master of any trade, Erudite, doctoral, Doctor_of_Philosophy, Ph.D., court academician, craft, erudite, Doctor of Philosophy, doctor	[sound:cmn-博士.mp3]
博覽會	博览会	bólǎnhuì	expo, trade fair, exhibition, exposition, fair, Expo	[sound:cmn-博览会.mp3]
博物館	博物馆	bówùguǎn	museum	[sound:cmn-博物馆.mp3]
