挨著	挨着	āizhe	near	[sound:cmn-挨着.mp3]
挨	挨	āi	in order, in sequence, close to, adjacent to, to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle	[sound:cmn-挨.mp3]
安檢	安检	ānjiǎn	safety check	[sound:cmn-安检.mp3]
罷工	罢工	bàgōng	go on strike	[sound:cmn-罢工.mp3]
挨打	挨打	ái dǎ	to take a beating, to get thrashed, to come under attack	[sound:cmn-挨打.mp3]
白領	白领	báilǐng	white collar, business person	[sound:cmn-白领.mp3]
辦公	办公	bàn gōng	work (usu. in an office), transact, work, handle official business	[sound:cmn-办公.mp3]
百分點	百分点	bǎifēndiǎn	percentage point	[sound:cmn-百分点.mp3]
辦學	办学	bàn xué	to run a school	[sound:cmn-办学.mp3]
辦事處	办事处	bànshìchù	office, agency	[sound:cmn-办事处.mp3]
半決賽	半决赛	bànjuésài	semifinals	[sound:cmn-半决赛.mp3]
罷了	罢了	bàle	particle: elucidating a previous proposition so as to diminish its effect	[sound:cmn-罢了.mp3]
保健	保健	bǎojiàn	health care, health protection, care for one's health	[sound:cmn-保健.mp3]
報刊	报刊	bàokān	newspapers and periodicals, the press	[sound:cmn-报刊.mp3]
傍晚	傍晚	bàngwǎn	in the evening, when night falls, towards evening, at night fall, at dusk	[sound:cmn-傍晚.mp3]
暴風雨	暴风雨	bàofēngyǔ	rainstorm, storm, tempest	[sound:cmn-暴风雨.mp3]
抱歉	抱歉	bàoqiàn	to be sorry, to feel apologetic, sorry!	[sound:cmn-抱歉.mp3]
暴露	暴露	bàolù	unmask, divulge, expose, develop, bewray, unhood, unhusk, uncover, lay bare, show_up, reveal, flash, uncase, debunk, discover, unkennel, revelation, betray, give_away, unveil	[sound:cmn-暴露.mp3]
報考	报考	bàokǎo	enter oneself for an examination	[sound:cmn-报考.mp3]
爆	爆	bào	to explode or burst, to quick fry or quick boil	[sound:cmn-爆.mp3]
暴雨	暴雨	bàoyǔ	torrential rain, rainstorm, CL:場|场[chang2],陣|阵[zhen4]	[sound:cmn-暴雨.mp3]
爆炸	爆炸	bàozhà	explode, blow up	[sound:cmn-爆炸.mp3]
暴力	暴力	bàolì	violence, force	[sound:cmn-暴力.mp3]
悲慘	悲惨	bēicǎn	tragic, pathetic, miserable	[sound:cmn-悲惨.mp3]
爆發	爆发	bàofā	erupt, burst/break out	[sound:cmn-爆发.mp3]
背著	背着	bēizhe	Carry on	[sound:cmn-背着.mp3]
背心	背心	bèixīn	sleeveless garment (vest, waistcoat, singlet, tank top etc), CL:件[jian4]	[sound:cmn-背心.mp3]
本	本	běn	det.: this	[sound:cmn-本.mp3]
奔跑	奔跑	bēnpǎo	to run	[sound:cmn-奔跑.mp3]
被告	被告	bèigào	tenant, indictee, accused, respondent, defendant, suspect, the accused, appellee	[sound:cmn-被告.mp3]
本期	本期	běnqī	the current period, this term (usually in finance)	[sound:cmn-本期.mp3]
本身	本身	běnshēn	per se, self, oneself, identity, itself	[sound:cmn-本身.mp3]
