挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
挨	挨	āi, ái	in order; in sequence; close to; adjacent to;  to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle;  	[sound:cmn-挨.mp3]
挨打	挨打	ái dǎ	to take a beating; to get thrashed; to come under attack;  	[sound:cmn-挨打.mp3]
安检	安檢	ān jiǎn	safety check;  	[sound:cmn-安检.mp3]
罢工	罷工	bà gōng	a strike; to go on strike;  	[sound:cmn-罢工.mp3]
罢了	罷瞭	bà le, bà liǎo	a modal particle indicating (that's all, only, nothing much);  a modal particle indicating (don't mind it, ok);  	[sound:cmn-罢了.mp3]
白领	白領	bái lǐng	white collar; business person;  	[sound:cmn-白领.mp3]
百分点	百分點	bǎi fēn diǎn	percentage point;  	[sound:cmn-百分点.mp3]
办公	辦公	bàn gōng	to handle official business; to work (esp. in an office);  	[sound:cmn-办公.mp3]
办事处	辦事處	bàn shì chù	office; agency;  	[sound:cmn-办事处.mp3]
办学	辦學	bàn xué	to run a school;  	[sound:cmn-办学.mp3]
半决赛	半決賽	bàn jué sài	semifinals;  	[sound:cmn-半决赛.mp3]
傍晚	傍晚	bàng wǎn	in the evening; when night falls; towards evening; at night fall; at dusk;  	[sound:cmn-傍晚.mp3]
保健	保健	bǎo jiàn	health protection; health care; to maintain in good health;  	[sound:cmn-保健.mp3]
报刊	報刊	bào kān	newspapers and periodicals; the press;  	[sound:cmn-报刊.mp3]
报考	報考	bào kǎo	to enter oneself for an examination;  	[sound:cmn-报考.mp3]
抱歉	抱歉	bào qiàn	to be sorry; to feel apologetic; sorry!;  	[sound:cmn-抱歉.mp3]
暴风雨	暴風雨	bào fēng yǔ	rainstorm; storm; tempest;  	[sound:cmn-暴风雨.mp3]
暴力	暴力	bào lì	violence; force; violent;  	[sound:cmn-暴力.mp3]
暴露	暴露	bào lù	to expose; to reveal; to lay bare; also pr. [pu4 lu4];  	[sound:cmn-暴露.mp3]
暴雨	暴雨	bào yǔ	torrential rain; rainstorm; CL:場|场[chang2],陣|阵[zhen4];  	[sound:cmn-暴雨.mp3]
