阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
哎	哎	āi	dissatisfaction, of surprise, swounds, warning	[sound:cmn-哎.mp3]
哀求	哀求	āiqiú	to entreat, to implore, to plead	[sound:cmn-哀求.mp3]
哎呀	哎呀	āiyā	jeez, of wonder, alas, wirra, swounds, lummy, shock, admiration	[sound:cmn-哎呀.mp3]
挨家挨戶	挨家挨户	āijiā-āihù	to go from house to house, house-to-house (search)	[sound:cmn-挨家挨户.mp3]
艾滋病	艾滋病	àizībìng	AIDS (loanword)	[sound:cmn-艾滋病.mp3]
癌	癌	ái	tumor, sarcoma, leukemia, cancerous, melanoma, malignant tumor, cancer, malignancy, neoplasm, carcinoma	[sound:cmn-癌.mp3]
癌癥	癌症	áizhèng	carcinomatosis, cancer	[sound:cmn-癌症.mp3]
愛不釋手	爱不释手	àibùshìshǒu	to love sth too much to part with it (idiom), to fondle admiringly	[sound:cmn-爱不释手.mp3]
唉	唉	āi	mild exclamation/sigh, Gosh!, My!	[sound:cmn-唉.mp3]
愛理不理	爱理不理	àilǐbùlǐ	to look cold and indifferent, standoffish	[sound:cmn-爱理不理.mp3]
愛面子	爱面子	ài miànzi	to save face, to worry about losing face, proud of one's reputation, sensitive about losing prestige, sense of propriety	[sound:cmn-爱面子.mp3]
愛惜	爱惜	àixī	cherish, treasure	[sound:cmn-爱惜.mp3]
礙事	碍事	ài shì	(usu used in the negative) to be of importance or to matter, to be in the way, to be a hindrance	[sound:cmn-碍事.mp3]
安定	安定	āndìng	stabilize	[sound:cmn-安定.mp3]
安眠藥	安眠药	ānmiányào	sleeping pill, CL:粒[li4]	[sound:cmn-安眠药.mp3]
安撫	安抚	ānfǔ	to placate, to pacify, to appease	[sound:cmn-安抚.mp3]
安穩	安稳	ānwěn	smooth and steady	[sound:cmn-安稳.mp3]
安寧	安宁	ānníng	peaceful, tranquil, calm, composed, free from worry	[sound:cmn-安宁.mp3]
按鍵	按键	ànjiàn	button or key (on a device), keystroke, CL:個|个[ge4], to press a button	[sound:cmn-按键.mp3]
按理說	按理说	ànlǐshuō	it is reasonable to say that...	[sound:cmn-按理说.mp3]
安逸	安逸	ānyì	easy and comfortable, easy	[sound:cmn-安逸.mp3]
安心	安心	ānxīn	reassured, disburden, set one's mind at rest, feel at ease, reassuring, keep one's mind on sth., be relieved	[sound:cmn-安心.mp3]
案件	案件	ànjiàn	a police case, law case, case (of law/etc.), a legal case, case	[sound:cmn-案件.mp3]
暗地裡	暗地里	àndìli	secretly, inwardly, on the sly	[sound:cmn-暗地里.mp3]
暗中	暗中	ànzhōng	in the dark, in secret, on the sly, surreptitiously	[sound:cmn-暗中.mp3]
按說	按说	ànshuō	in the ordinary course of events, ordinarily, normally	[sound:cmn-按说.mp3]
凹	凹	āo	depressed, sunken, indented, concave, female (connector etc), variant of 窪|洼[wa1], (used in names)	[sound:cmn-凹.mp3]
昂貴	昂贵	ángguì	cost, costly, expensive	[sound:cmn-昂贵.mp3]
熬	熬	áo	to boil, to simmer, to cook on a slow fire, to extract by heating, to decoct, to endure	[sound:cmn-熬.mp3]
傲	傲	ào	proud, arrogant, to despise, unyielding, to defy	[sound:cmn-傲.mp3]
暗殺	暗杀	ànshā	to assassinate	[sound:cmn-暗杀.mp3]
熬夜	熬夜	áo yè	to stay up late or all night	[sound:cmn-熬夜.mp3]
奧祕	奥秘	àomì	secret, mystery	[sound:cmn-奥秘.mp3]
傲慢	傲慢	àomàn	arrogant, haughty	[sound:cmn-傲慢.mp3]
八卦	八卦	bāguà	the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1], gossip, gossipy	[sound:cmn-八卦.mp3]
巴不得	巴不得	bābude	(coll.) to be eager for, to long for, to look forward to	[sound:cmn-巴不得.mp3]
奧運會	奥运会	Àoyùnhuì	abbr. for 奧林匹克運動會|奥林匹克运动会, Olympic Games, the Olympics	[sound:cmn-奥运会.mp3]
