阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  	[sound:cmn-阿拉伯语.mp3]
哎	哎	āi	hey!; (interjection used to attract attention or to express surprise or disapprobation);  	[sound:cmn-哎.mp3]
哎呀	哎呀	āi yā	interjection of wonder, shock or admiration;  	[sound:cmn-哎呀.mp3]
哀求	哀求	āi qiú	to entreat; to implore; to plead;  	[sound:cmn-哀求.mp3]
挨家挨户	挨傢挨戶	āi jiā āi hù	to go from house to house; house-to-house (search);  	[sound:cmn-挨家挨户.mp3]
癌	癌	ái	cancer; carcinoma; also pr. [yan2];  	[sound:cmn-癌.mp3]
癌症	癌癥	ái zhèng	cancer;  	[sound:cmn-癌症.mp3]
艾滋病	艾滋病	ài zī bìng	AIDS (loanword);  	[sound:cmn-艾滋病.mp3]
唉	唉	āi, ài	interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh;  alas; oh dear;  	[sound:cmn-唉.mp3]
爱不释手	愛不釋手	ài bù shì shoǔ	to love sth too much to part with it (idiom); to fondle admiringly;  	[sound:cmn-爱不释手.mp3]
爱理不理	愛理不理	ài lǐ bù lǐ	to look cold and indifferent; standoffish;  	[sound:cmn-爱理不理.mp3]
爱面子	愛麵子	ài miàn zi	to save face; to worry about losing face; proud of one's reputation; sensitive about losing prestige; sense of propriety;  	[sound:cmn-爱面子.mp3]
爱惜	愛惜	ài xī	to cherish; to treasure; to use sparingly;  	[sound:cmn-爱惜.mp3]
碍事	礙事	ài shì	(usu used in the negative) to be of importance or to matter; to be in the way; to be a hindrance;  	[sound:cmn-碍事.mp3]
安定	安定	Ān dìng, ān dìng	Anting township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan;  stable; quiet; settled; stabilize; maintain; stabilized; calm and orderly;  	[sound:cmn-安定.mp3]
安抚	安撫	ān fǔ	to placate; to pacify; to appease;  	[sound:cmn-安抚.mp3]
安眠药	安眠藥	ān mián yào	sleeping pill; CL:粒[li4];  	[sound:cmn-安眠药.mp3]
安宁	安寜	Ān níng, ān níng	Anning District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu; Anning City, to the west of Kunming 昆明[Kun1 ming2], Yunnan;  peaceful; tranquil; calm; composed; free from worry;  	[sound:cmn-安宁.mp3]
安稳	安穩	ān wěn	smooth and steady;  	[sound:cmn-安稳.mp3]
安心	安心	ān xīn	at ease; to feel relieved; to set one's mind at rest; to keep one's mind on sth;  	[sound:cmn-安心.mp3]
安逸	安逸	ān yì	easy and comfortable; easy;  	[sound:cmn-安逸.mp3]
按键	按鍵	àn jiàn	button or key (on a device); keystroke; CL:個|个[ge4]; to press a button;  	[sound:cmn-按键.mp3]
按理说	按理說	àn lǐ shuō	it is reasonable to say that...;  	[sound:cmn-按理说.mp3]
按说	按說	àn shuō	in the ordinary course of events; ordinarily; normally;  	[sound:cmn-按说.mp3]
案件	案件	àn jiàn	case; instance; CL:宗[zong1],樁|桩[zhuang1],起[qi3];  	[sound:cmn-案件.mp3]
暗地里	暗地裏	àn dì li	secretly; inwardly; on the sly;  	[sound:cmn-暗地里.mp3]
暗杀	暗殺	àn shā	to assassinate;  	[sound:cmn-暗杀.mp3]
