爱情	愛情	ai4qing2	àiqíng	(romantic) love
安排	安排	an1pai2	ānpái	arrange; to plan
安全	安全	an1quan2	ānquán	safe; safety; secure; security
按时	按時	an4shi2	ànshí	on time; on schedule
按照	按照	an4zhao4	ànzhào	according to; in accordance with; in light of
百分之	百分之	bai3fen1zhi1	bǎifēnzhī	percent
棒	棒	bang4	bàng	stick; club; good; excellent
包子	包子	bao1zi	bāozi	steamed stuffed bun
保护	保護	bao3hu4	bǎohù	to protect; to defend
保证	保證	bao3zheng4	bǎozhèng	to guarantee; ensure
报名	報名	bao4 ming2	bào míng	sign up; apply
抱	抱	bao4	bào	to hold; to hug; carry in one's arms; to cradle
抱歉	抱歉	bao4qian4	bàoqiàn	be sorry; feel apologetic; to regret
倍	倍	bei4	bèi	(two, three, etc)-fold; times (multiplier)
本来	本來	ben3lai2	běnlái	originally; at first
笨	笨	ben4	bèn	stupid; foolish; silly; dumb; clumsy
比如	比如	bi3ru2	bǐrú	for example; for instance; such as
毕业	畢業	bi4 ye4	bì yè	to graduate; to finish school
遍	遍	bian4	biàn	a time; everywhere; turn; (mw for times or turns)
标准	標准	biao1zhun3	biāozhǔn	(an official) standard; norm; criterion
表格	表格	biao3ge2	biǎogé	form (document)
表示	表示	biao3shi4	biǎoshì	express; show; indicate
表演	表演	biao3yan3	biǎoyǎn	perform; to play
表扬	表揚	biao3yang2	biǎoyáng	to praise; commend
饼干	餅幹	bing3gan1	bǐnggān	biscuit; cracker; cookie
并且	並且	bing4qie3	bìngqiě	and; besides; moreover
博士	博士	bo2shi4	bóshì	doctor; PhD
不得不	不得不	bu4 de2 bu4	bù dé bù	have to; have no choice but to; cannot but
不管	不管	bu4guan3	bùguǎn	no matter (what, how, etc.); regardless of
不过	不過	bu2guo4	búguò	only; merely; but; however
不仅	不僅	bu4jin3	bùjǐn	not only; not just
部分	部分	bu4fen	bùfen	part; share; section
擦	擦	ca1	cā	to wipe; to rub; to polish
猜	猜	cai1	cāi	to guess
材料	材料	cai2liao4	cáiliào	material
参观	參觀	cang1uan1	cānguān	to visit (a place, such as a tourist spot); inspect
餐厅	餐廳	can1ting1	cāntīng	dining hall; cafeteria; restaurant
厕所	廁所	ce4suo3	cèsuǒ	bathroom; toilet; lavatory
差不多	差不多	cha4buduo1	chàbuduō	almost; about the same
长城	長城	chang2cheng2	chángchéng	the Great Wall
长江	長江	Chang2jiang1	Chángjiāng	the Yangtze River; the Changjiang River
尝	嘗	chang2	cháng	to taste; flavor; (past tense marker)
场	場	chang3	chǎng	courtyard; place; field; (mw for games, performances, etc.)
超过	超過	chao1guo4	chāoguò	surpass; exceed; outstrip
成功	成功	cheng2gong1	chénggōng	success; to succeed
成为	成爲	cheng2wei2	chéngwéi	become; turn into
诚实	誠實	cheng2shi2	chéngshí	honest; honorable
乘坐	乘坐	cheng2zuo4	chéngzuò	ride; get into (a vehicle)
吃惊	吃驚	chi1 jing1	chī jīng	be startled; be shocked; be amazed
重新	重新	chong2xin1	chóngxīn	again; anew; once more
抽烟	抽煙	chou1yan1	chōuyān	to smoke (a cigarette, pipe, etc.)
出差	出差	chu1 chai1	chū chāi	go on a business trip
出发	出發	chu1fa1	chūfā	start out; set off
出生	出生	chu1sheng1	chūshēng	be born
出现	出現	chu1xian4	chūxiàn	appear; arise; emerge
厨房	廚房	chu2fang2	chúfáng	kitchen
传真	傳真	chuan2zhen1	chuánzhēn	fax; facsimile
窗户	窗戶	chuang1hu	chuānghu	window
词语	詞語	ci2yu3	cíyǔ	words and expressions; terms
从来	從來	cong2lai2	cónglái	always; at all times
粗心	粗心	cu1xin1	cūxīn	careless; inadvertent; negligent
存	存	cun2	cún	exist; to deposit; to store
错误	錯誤	cuo4wu4	cuòwù	error; mistake; mistaken
答案	答案	da2'an4	dá'àn	answer; solution
打扮	打扮	da3ban	dǎban	dress up; put on make up
打扰	打擾	da3rao3	dǎrǎo	disturb
打印	打印	da3yin4	dǎyìn	to print
打招呼	打招呼	da3zhao1hu	dǎzhāohu	notify; greet; inform
打折	打折	da3zhe2	dǎzhé	sell at a discount
打针	打針	da3zhen1	dǎzhēn	inject; get a shot
大概	大概	da4gai4	dàgài	probably; roughly; approximate
大使馆	大使館	da4shi3guan3	dàshǐguǎn	embassy
大约	大約	da4yue1	dàyuē	approximately; about
大夫	大夫	dai4fu	dàifu	doctor; physician
戴	戴	dai4	dài	put on; to wear; to respect
当	當	dang1	dāng	should; act as; work as; manage; match; (sound of bells)
当时	當時	dang1shi2	dāngshí	then; at that time; while
刀	刀	dao1	dāo	knife; blade (Kangxi radical 18)
导游	導遊	dao3you2	dǎoyóu	tour guide
到处	到處	dao4chu4	dàochù	everywhere; in all places; all over
到底	到底	dao4 di3	dào dǐ	after all; in the end (used in a question)
倒	倒	dao3, dao4	dǎo, dào	to collapse; to fall; fail; to exchange | to pour; contrary to expectations
道歉	道歉	dao4qian4	dàoqiàn	apologize; make an apology
得意	得意	de2yi4	déyì	proud of oneself; complacent
得	得	de	de	(complement particle)
登机牌	登機牌	deng1ji1pai2	dēngjīpái	boarding pass
等	等	deng3	děng	to wait; rank; equal; etc.
低	低	di1	dī	low; to lower (one's head); droop
